product,quantity_sold,dates
chocolate oats protein bar,155,3/5/2021
chocolate oats protein bar,584,3/5/2021
chocolate oats protein bar,661,3/7/2021
chocolate oats protein bar,557,3/9/2021
chocolate oats protein bar,899,3/9/2021
chocolate oats protein bar,325,3/15/2021
chocolate oats protein bar,238,3/17/2021
chocolate oats protein bar,44,3/19/2021
chocolate oats protein bar,545,3/21/2021
chocolate oats protein bar,973,3/22/2021
chocolate oats protein bar,925,3/23/2021
chocolate oats protein bar,123,3/24/2021
chocolate oats protein bar,461,3/24/2021
chocolate oats protein bar,329,3/26/2021
chocolate oats protein bar,679,3/27/2021
chocolate oats protein bar,967,3/30/2021
chocolate oats protein bar,836,3/30/2021
chocolate oats protein bar,171,3/31/2021
chocolate oats protein bar,82,4/1/2021
chocolate oats protein bar,299,4/2/2021
chocolate oats protein bar,535,4/2/2021
chocolate oats protein bar,28,4/4/2021
chocolate oats protein bar,215,4/5/2021
chocolate oats protein bar,356,4/6/2021
chocolate oats protein bar,125,4/12/2021
chocolate oats protein bar,530,4/13/2021
chocolate oats protein bar,27,4/15/2021
chocolate oats protein bar,175,4/15/2021
chocolate oats protein bar,730,4/18/2021
chocolate oats protein bar,438,4/20/2021
chocolate oats protein bar,423,4/22/2021
chocolate oats protein bar,408,4/24/2021
chocolate oats protein bar,967,4/25/2021
chocolate oats protein bar,523,4/26/2021
chocolate oats protein bar,597,4/27/2021
chocolate oats protein bar,92,4/27/2021
chocolate oats protein bar,267,4/30/2021
chocolate oats protein bar,333,5/1/2021
chocolate oats protein bar,274,5/1/2021
chocolate oats protein bar,946,5/1/2021
chocolate oats protein bar,999,5/2/2021
chocolate oats protein bar,77,5/3/2021
chocolate oats protein bar,239,5/5/2021
chocolate oats protein bar,398,5/7/2021
chocolate oats protein bar,986,5/12/2021
chocolate oats protein bar,568,5/13/2021
chocolate oats protein bar,497,5/13/2021
chocolate oats protein bar,823,5/13/2021
chocolate oats protein bar,304,5/18/2021
chocolate oats protein bar,157,5/23/2021
chocolate oats protein bar,307,5/25/2021
chocolate oats protein bar,784,5/28/2021
chocolate oats protein bar,946,5/28/2021
chocolate oats protein bar,213,5/31/2021
chocolate oats protein bar,767,6/1/2021
chocolate oats protein bar,238,6/6/2021
chocolate oats protein bar,589,6/6/2021
chocolate oats protein bar,863,6/7/2021
chocolate oats protein bar,610,6/11/2021
chocolate oats protein bar,518,6/13/2021
chocolate oats protein bar,880,6/13/2021
chocolate oats protein bar,225,6/15/2021
chocolate oats protein bar,935,6/16/2021
chocolate oats protein bar,332,6/17/2021
chocolate oats protein bar,252,6/18/2021
chocolate oats protein bar,561,6/18/2021
chocolate oats protein bar,938,6/19/2021
chocolate oats protein bar,14,6/19/2021
chocolate oats protein bar,906,6/21/2021
chocolate oats protein bar,234,6/26/2021
chocolate oats protein bar,401,6/26/2021
chocolate oats protein bar,955,6/29/2021
chocolate oats protein bar,716,6/30/2021
chocolate oats protein bar,115,6/30/2021
chocolate oats protein bar,560,7/2/2021
chocolate oats protein bar,639,7/4/2021
chocolate oats protein bar,665,7/4/2021
chocolate oats protein bar,185,7/6/2021
chocolate oats protein bar,646,7/7/2021
chocolate oats protein bar,347,7/7/2021
chocolate oats protein bar,574,7/10/2021
chocolate oats protein bar,650,7/11/2021
chocolate oats protein bar,41,7/11/2021
chocolate oats protein bar,978,7/17/2021
chocolate oats protein bar,999,7/18/2021
chocolate oats protein bar,106,7/19/2021
chocolate oats protein bar,693,7/29/2021
chocolate oats protein bar,956,7/30/2021
chocolate oats protein bar,762,7/30/2021
chocolate oats protein bar,665,7/30/2021
chocolate oats protein bar,966,8/3/2021
chocolate oats protein bar,343,8/3/2021
chocolate oats protein bar,848,8/4/2021
chocolate oats protein bar,170,8/4/2021
chocolate oats protein bar,451,8/6/2021
chocolate oats protein bar,903,8/6/2021
chocolate oats protein bar,170,8/9/2021
chocolate oats protein bar,173,8/10/2021
chocolate oats protein bar,946,8/10/2021
chocolate oats protein bar,577,8/14/2021
chocolate oats protein bar,58,8/14/2021
chocolate oats protein bar,66,8/15/2021
chocolate oats protein bar,242,8/16/2021
chocolate oats protein bar,1,8/17/2021
chocolate oats protein bar,177,8/19/2021
chocolate oats protein bar,374,8/20/2021
chocolate oats protein bar,300,8/20/2021
chocolate oats protein bar,747,8/22/2021
chocolate oats protein bar,348,8/22/2021
chocolate oats protein bar,250,8/23/2021
chocolate oats protein bar,815,8/27/2021
chocolate oats protein bar,168,8/27/2021
chocolate oats protein bar,480,8/29/2021
chocolate oats protein bar,478,9/1/2021
chocolate oats protein bar,243,9/3/2021
chocolate oats protein bar,77,9/5/2021
chocolate oats protein bar,603,9/5/2021
chocolate oats protein bar,619,9/7/2021
chocolate oats protein bar,351,9/9/2021
chocolate oats protein bar,466,9/10/2021
chocolate oats protein bar,272,9/11/2021
chocolate oats protein bar,903,9/11/2021
chocolate oats protein bar,98,9/12/2021
chocolate oats protein bar,501,9/15/2021
chocolate oats protein bar,840,9/15/2021
chocolate oats protein bar,144,9/16/2021
chocolate oats protein bar,678,9/18/2021
chocolate oats protein bar,216,9/18/2021
chocolate oats protein bar,439,9/20/2021
chocolate oats protein bar,186,9/21/2021
chocolate oats protein bar,439,9/26/2021
chocolate oats protein bar,547,9/26/2021
chocolate oats protein bar,750,9/27/2021
chocolate oats protein bar,222,10/1/2021
chocolate oats protein bar,971,10/3/2021
chocolate oats protein bar,147,10/3/2021
chocolate oats protein bar,553,10/4/2021
chocolate oats protein bar,641,10/5/2021
chocolate oats protein bar,302,10/6/2021
chocolate oats protein bar,528,10/7/2021
chocolate oats protein bar,605,10/11/2021
chocolate oats protein bar,850,10/14/2021
chocolate oats protein bar,641,10/18/2021
chocolate oats protein bar,577,10/22/2021
chocolate oats protein bar,681,10/24/2021
chocolate oats protein bar,657,10/24/2021
chocolate oats protein bar,448,10/25/2021
chocolate oats protein bar,227,10/25/2021
chocolate oats protein bar,969,10/26/2021
chocolate oats protein bar,733,11/2/2021
chocolate oats protein bar,847,11/3/2021
chocolate oats protein bar,310,11/6/2021
chocolate oats protein bar,692,11/8/2021
chocolate oats protein bar,428,11/9/2021
chocolate oats protein bar,184,11/10/2021
chocolate oats protein bar,333,11/10/2021
chocolate oats protein bar,896,11/15/2021
chocolate oats protein bar,753,11/15/2021
chocolate oats protein bar,373,11/17/2021
chocolate oats protein bar,74,11/17/2021
chocolate oats protein bar,708,11/18/2021
chocolate oats protein bar,208,11/19/2021
chocolate oats protein bar,445,11/21/2021
chocolate oats protein bar,934,11/21/2021
chocolate oats protein bar,124,11/23/2021
chocolate oats protein bar,557,11/23/2021
chocolate oats protein bar,665,11/23/2021
chocolate oats protein bar,396,11/23/2021
chocolate oats protein bar,948,11/24/2021
chocolate oats protein bar,834,11/25/2021
chocolate oats protein bar,869,11/25/2021
chocolate oats protein bar,506,11/29/2021
chocolate oats protein bar,737,11/29/2021
chocolate oats protein bar,304,12/1/2021
chocolate oats protein bar,664,12/3/2021
chocolate oats protein bar,847,12/4/2021
chocolate oats protein bar,296,12/4/2021
chocolate oats protein bar,554,12/5/2021
chocolate oats protein bar,284,12/12/2021
chocolate oats protein bar,97,12/12/2021
chocolate oats protein bar,381,12/14/2021
chocolate oats protein bar,875,12/17/2021
chocolate oats protein bar,402,12/19/2021
chocolate oats protein bar,617,12/19/2021
chocolate oats protein bar,539,12/20/2021
chocolate oats protein bar,820,12/25/2021
chocolate oats protein bar,544,12/26/2021
chocolate oats protein bar,810,1/1/2022
chocolate oats protein bar,468,1/1/2022
chocolate oats protein bar,166,1/1/2022
chocolate oats protein bar,566,1/2/2022
chocolate oats protein bar,16,1/2/2022
chocolate oats protein bar,758,1/4/2022
chocolate oats protein bar,609,1/7/2022
chocolate oats protein bar,242,1/9/2022
chocolate oats protein bar,928,1/11/2022
chocolate oats protein bar,999,1/12/2022
chocolate oats protein bar,212,1/12/2022
chocolate oats protein bar,317,1/13/2022
chocolate oats protein bar,12,1/13/2022
chocolate oats protein bar,887,1/14/2022
chocolate oats protein bar,1000,1/16/2022
chocolate oats protein bar,548,1/19/2022
chocolate oats protein bar,704,1/21/2022
chocolate oats protein bar,610,1/21/2022
chocolate oats protein bar,831,1/22/2022
chocolate oats protein bar,518,1/23/2022
chocolate oats protein bar,594,1/25/2022
chocolate oats protein bar,656,1/29/2022
chocolate oats protein bar,203,1/30/2022
chocolate oats protein bar,514,1/30/2022
chocolate oats protein bar,573,1/31/2022
chocolate oats protein bar,433,2/4/2022
chocolate oats protein bar,212,2/6/2022
chocolate oats protein bar,988,2/6/2022
chocolate oats protein bar,721,2/7/2022
chocolate oats protein bar,396,2/8/2022
chocolate oats protein bar,646,2/11/2022
chocolate oats protein bar,730,2/12/2022
chocolate oats protein bar,728,2/14/2022
chocolate oats protein bar,950,2/23/2022
chocolate oats protein bar,79,2/24/2022
chocolate oats protein bar,394,2/24/2022
chocolate oats protein bar,329,2/25/2022
chocolate oats protein bar,902,2/28/2022
chocolate oats protein bar,393,3/1/2022
chocolate oats protein bar,317,3/3/2022
chocolate oats protein bar,918,3/5/2022
chocolate oats protein bar,560,3/6/2022
chocolate oats protein bar,722,3/6/2022
chocolate oats protein bar,277,3/7/2022
chocolate oats protein bar,810,3/7/2022
chocolate oats protein bar,803,3/8/2022
chocolate oats protein bar,527,3/9/2022
chocolate oats protein bar,513,3/15/2022
chocolate oats protein bar,997,3/15/2022
chocolate oats protein bar,586,3/18/2022
chocolate oats protein bar,418,3/20/2022
chocolate oats protein bar,193,3/21/2022
chocolate oats protein bar,411,3/24/2022
chocolate oats protein bar,600,3/27/2022
chocolate oats protein bar,482,3/28/2022
chocolate oats protein bar,739,4/1/2022
chocolate oats protein bar,704,4/5/2022
chocolate oats protein bar,382,4/6/2022
chocolate oats protein bar,85,4/7/2022
chocolate oats protein bar,888,4/7/2022
chocolate oats protein bar,5,4/9/2022
chocolate oats protein bar,653,4/9/2022
chocolate oats protein bar,140,4/9/2022
chocolate oats protein bar,978,4/13/2022
chocolate oats protein bar,820,4/13/2022
chocolate oats protein bar,728,4/13/2022
chocolate oats protein bar,111,4/13/2022
chocolate oats protein bar,854,4/14/2022
chocolate oats protein bar,451,4/17/2022
chocolate oats protein bar,252,4/17/2022
chocolate oats protein bar,378,4/18/2022
chocolate oats protein bar,306,4/19/2022
chocolate oats protein bar,425,4/23/2022
chocolate oats protein bar,93,4/26/2022
chocolate oats protein bar,812,4/26/2022
